mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-6635;Ba2CaReO6;mp-2920;['Ca', 'Ba', 'Ba', 'Re'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-13001;Ba2HoTaO6;mp-2920;['Ba', 'Ba', 'Ho', 'Ta'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-4170;NaTaO3;mp-2920;['Na', 'Ta'];[1, 5];['12', '6'];[2.0, 2.0, 2.0]
mp-21370;Ba2EuSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Eu'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-9238;Ba2UCuO6;mp-2920;['Cu', 'Ba', 'Ba', 'U'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-18757;Sr2CdWO6;mp-2920;['Sr', 'Sr', 'Cd', 'W'];[2, 2, 2, 6];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19170;PrNiO3;mp-2920;['Ni', 'Ni', 'Pr', 'Pr'];[3, 3, 3, 3];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-3474;LaCuO3;mp-2920;['Cu', 'Cu', 'La', 'La'];[3, 3, 3, 3];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-5020;BaTiO3;mp-2920;['Ti', 'Ba'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-553281;Ba2LaNbO6;mp-2920;['Ba', 'Ba', 'La', 'Nb'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-18995;Ba2FeMoO6;mp-2920;['Fe', 'Mo', 'Ba', 'Ba'];[3, 5, 2, 2];['6', '6', '12', '12'];[2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004]
mp-19843;CeAlO3;mp-2920;['Al', 'Al', 'Ce', 'Ce'];[3, 3, 3, 3];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-10344;Ba2PrNbO6;mp-2920;['Nb', 'Nb', 'Ba', 'Ba', 'Ba', 'Ba', 'Pr', 'Pr'];[5, 5, 2, 2, 2, 2, 3, 3];['6', '6', '12', '12', '12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6692;Ba2PrSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Pr'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-551269;Ba2LaSbO6;mp-2920;['Ba', 'La', 'Ba', 'Sb'];[2, 3, 2, 5];['12', '6', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19098;Ba2CaWO6;mp-2920;['Ca', 'Ba', 'Ba', 'W'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6254;Ba2TbNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Tb'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-13934;Ba2TmReO6;mp-2920;['Ba', 'Ba', 'Tm', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19389;Ba2NdMoO6;mp-2920;['Mo', 'Ba', 'Ba', 'Nd'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-3614;KTaO3;mp-2920;['K', 'Ta'];[1, 5];['12', '6'];[2.0, 2.0, 2.0]
mp-21309;MgTe(PbO3)2;mp-2920;['Mg', 'Te', 'Pb', 'Pb'];[2, 6, 2, 2];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-8558;BaNpO3;mp-2920;['Ba', 'Np'];[2, 4];['12', '6'];[2.0, 2.0, 2.0]
mp-12729;Ba2TmRuO6;mp-2920;['Ru', 'Ba', 'Ba', 'Tm'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
